#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="demographic.alltrees" spec="beast.base.evolution.tree.coalescent.CompoundPopulationFunction">
#    <parameter id="popSizes.alltrees" lower="0.0" name="populationSizes" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#    <populationIndicators id="indicators.alltrees" spec="beast.base.inference.parameter.BooleanParameter">false</populationIndicators>
#    <itree id="treeIntervals.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TreeIntervals">
#        <tree id="Tree.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.Tree">
#            <trait id="dateTrait.t:HRTV_S_BEAST" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="HRTV-23_T_S_2019=2019,HRTV-26_T_S_2019=2019,HRTV-404_T_S_2021=2021,HRTV-100_T_S_2022=2022,HRTV-187_T_S_2022=2022,HRTV-056F_T_S_2023=2023,HRTV-504_T_S_2019=2019,HRTV-432R_T_S_2023=2023,HRTV-642T_T_S_2023=2023,JX005843_H_S_MO_2009=2009,OQ688983.1_T_S_MO_2012=2012,OQ688989.1_T_S_MO_2012=2012,OQ688986.1_T_S_KS_2015=2015,OQ688993.1_H_S_OK_2017=2017,MZ440341_T_S_NY_2018=2018,MZ440344_T_S_NY_2018=2018,NC_024496_H_S_MO_2009=2009,KJ740146_H_S_TN_2013=2013,OQ688998.1_H_S_KY_2017=2017,OQ689001.1_H_S_MO_2017=2017">
#                <taxa id="TaxonSet.HRTV_S_BEAST" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxa>
#            </trait>
#            <taxonset idref="TaxonSet.HRTV_S_BEAST"/>
#        </tree>
#    </itree>
#</input>
#
Sample	popsSize0	demographic.alltrees.times.0	demographic.alltrees.times.1	demographic.alltrees.times.2	demographic.alltrees.times.3	demographic.alltrees.times.4	demographic.alltrees.times.5	demographic.alltrees.times.6	demographic.alltrees.times.7	demographic.alltrees.times.8	demographic.alltrees.times.9	demographic.alltrees.times.10	demographic.alltrees.times.11	demographic.alltrees.times.12	demographic.alltrees.times.13	demographic.alltrees.times.14	demographic.alltrees.times.15	demographic.alltrees.times.16	demographic.alltrees.times.17	demographic.alltrees.times.18
100000	0:8.446723264576944	1.0236399339648714:1.4448154169666656	1.3835585590273878	1.6545115623738587	2.7176479130858353:7.9E-323	2.7176479130858353:1.1065199081036754E-14	4.119375109356669:0.9740204516920132	4.277373162561423:3.602993E-317	4.277373162561423:2.534542582548772E-9	6.015965022202837:12.295657723219318	8.22516962319132	11.400375841184363	12.019386671272624	12.117598609242151	12.816488685309878	13.532004386514908	14.13601519769276	14.273563900909517	20.734998098863873	20.734998098863873:4.9E-324
105000	0:5.566657233373847	1.2973695848885693	1.4856947583199258:0.7191509523603388	1.8481157475620082:6.040818819709255	2.76207040326593:1.1E-322	2.76207040326593:1.4650860465224075E-15	4.283718104946566:2.6433052361972997	4.638341122061233:4.18531057E-316	4.638341122061233:7.899467623720873E-9	6.367138529233634:39.6642359531338	9.186628133956608	11.29584852223388	13.049182328141168	14.85931515043083	16.151061813557835	17.078837738325355	18.92246132131171	18.972085336762834	20.918419938929617	20.918419938929617:4.9E-324
110000	0:4.10605984574863	0.5636623573989267	1.016009429690313	2.4562822326851417:1.7623965792762641	2.7165769933657384:4.45E-322	2.7165769933657384:2.5145285083798E-15	4.1924991969856364:2.7967319543157694	4.700789453786381:1.764975E-318	4.700789453786381:2.053679544100068E-10	5.004337851204969:17.98330831530107	9.807362482676437	11.217912890793189	12.459085004478437	12.909155704048448	12.934466262661822	15.07348713056641	15.573648816460127	15.601146964358286	18.510827336901237	18.510827336901237:4.9E-324
115000	0:1.2809068324808925	0.37739658669635434	1.0114212056364045	1.3454392204999928:1.0755177228764012	2.500543006160452:1.0E-322	2.500543006160452:5.5971816023276135E-15	4.223078981595237:0.515963487669237	4.302161908430834:1.313113E-317	4.302161908430834:4.3130969525573206E-10	5.868216852925807:4.867233109352978	7.766499661111402	8.141805787134611	10.218966205804364	11.494682802907448	11.539389702084637	11.877413173983904	12.57479673760722	14.33908690305954	18.23199480181195	18.23199480181195:4.9E-324
120000	0:12.766904808357992	1.0173441016624747	1.1374676629925162	1.7657021922983618:1.4976643812003745	2.5187951892615033:2.0E-323	2.5187951892615033:2.2564517017168377E-15	4.356283577751209:2.9925891132493443	4.381184555391426:7.313695E-317	4.381184555391426:5.100928688574853E-9	5.321498489365146:22.38029943595717	9.103964159526935	10.058147328054101	11.115708466684415	11.788874843181327	12.619868403072719	13.74413742720726	14.464006214033082	15.625297484919896	18.226324692869206	18.226324692869206:4.9E-324
125000	0:2.071888914156587	0.7044234881906337	1.3533722417817171	1.5168611279614859:2.5780208673537564	2.7865950427558497:2.026E-321	2.7865950427558497:1.003820409589598E-14	4.019710328726251:1.8061919467115422	4.805414930307014:2.8257126E-317	4.805414930307014:4.50549092572828E-9	6.582100980558465:21.90771629316705	8.597950724895538	11.573802854156876	12.437279946906292	12.985765115486922	13.010317403056867	13.12638510070981	14.401817753661765	15.76376168279073	17.891257337225525	17.891257337225525:4.9E-324
130000	0:6.107117672642697	1.1528185524654948	1.4125245193599558	1.6998327439641658:2.896699229926574	2.9206672289427655:5.9E-322	2.9206672289427655:9.994758351038517E-15	4.442075549017183:3.268727976571448	4.898341657333584:9.0431834E-317	4.898341657333584:8.459219417538415E-9	6.614042933895019:25.37774882830294	10.304104496912911	13.110773982280095	13.22348966667265	14.389405889803633	15.16335122714482	15.185783864745542	16.6867699320732	17.605026403475186	19.698158770683197	19.698158770683197:4.9E-324
135000	0:0.45677268539841637	0.37461323364970844:3.924989698615694	0.6126841177304136:1.4699043091532795	1.2458059571509132	2.918274075691213:6.8E-322	2.918274075691213:8.784355669683454E-14	4.024475905129717:1.7497722629766563	4.5457956492083:1.358842916E-315	4.5457956492083:1.4128808148898057E-7	5.709092911998979:15.779015595015846	10.5580077997689	11.00948700576181	11.029636013267089	12.089758550281895	13.437041944816336	13.461831841178558	14.667219847184242	16.550438059473002	18.26108363666622	18.26108363666622:4.9E-324
140000	0:78.23407339491045	1.3079206840787378	1.3958169687844766:4.543310970953741	2.342258105898482	2.9297483339493087:4.64E-322	2.9297483339493087:5.378399810663338E-14	4.13719152667602:6.834719843406413	4.308897218559257:5.276067087E-315	4.308897218559257:7.851620488557568E-8	5.5311705524995345:42.83302246131666	9.343501545728316	11.357824193681662	11.9601442890485	14.429458510665125	15.03646307994702	15.966624047007329	17.120539733361056	17.471623933347303	19.28521926190138	19.28521926190138:4.9E-324
145000	0:4.882897843239485	1.4756713500837524	1.760713462686662	2.2237691812018605	2.9672957089067733:4.9E-324	2.9672957089067733:8.029266468765951E-16	4.084557804479746:6.191182782063488	4.381757946741701:4.52739056E-315	4.381757946741701:2.733327239942186E-7	5.186912731495669:17.43859659067514	11.190028296061573	11.759761323403275	14.055743990986226	14.318290085623559	15.0268564794793	15.315889383235518	15.566112988316327	15.938805336942899	22.757114224478286	22.757114224478286:4.9E-324
